freq,duty,rcs,rsa,csa,vin,rl,k,Iin,Vout,Iout,S1_Pcond,S1_Psw,S1_Ptot,S2_Pcond,S2_Psw,S2_Ptot,S3_Pcond,S3_Psw,S3_Ptot,S4_Pcond,S4_Psw,S4_Ptot,Tj_S1,Tj_S2,Tj_S3,Tj_S4,T_heatsink,Time,Tj_S1_ts,Tj_S2_ts,Tj_S3_ts,Tj_S4_ts,T_heatsink_ts
6780000.0,0.5,0.2,0.5,33.5,100.0,115.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0326750276825685,149.7086918918576,1.3018147121031094,0.6179362980944408,7.6696271066946204,8.287563404789065,0.6208404427962828,7.669596471199379,8.290436913995661,0.6179362980944408,7.6696271066946204,8.287563404789065,0.6208404427962828,7.669596471199379,8.290436913995661,34.43807303103536,34.342430569760616,34.43807303103536,34.342430569760616,25.117559726368953,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.1,25.1,25.1,25.1,25.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.774422311697719e-05,26.273453039377085,26.246475425274227,26.273453039377085,26.246475425274227,25.100000004821855
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6391043026435785e-05,26.371499388224304,26.407246834717608,26.371499388224304,26.407246834717608,25.10000004922201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58702078663982e-05,26.48994766236901,26.538756389798376,26.48994766236901,26.538756389798376,25.100000174354914
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.563267358796787e-05,26.650755378412327,26.700541335861484,26.650755378412327,26.700541335861484,25.100000405387387
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.591630075852523e-05,26.834289212185993,26.80567701589928,26.834289212185993,26.80567701589928,25.100000767317177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011631463326659884,26.94650176668547,26.99754113749481,26.94650176668547,26.99754113749481,25.10000127100866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001367432679840881,27.09344893438956,27.06289889020291,27.09344893438956,27.06289889020291,25.100001925303246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015709965871302036,27.193295196296315,27.159358519431006,27.193295196296315,27.159358519431006,25.100002733398078
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001774886599806333,27.258180317569487,27.2344162572621,27.258180317569487,27.2344162572621,25.10000370377154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000197788560225275,27.473165169591947,27.347928148747958,27.473165169591947,27.347928148747958,25.10000483307773
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00021790973831475066,27.41920113823591,27.390061589978984,27.41920113823591,27.390061589978984,25.100006115097642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00023802568892189674,27.46880588046223,27.505914789968827,27.46880588046223,27.505914789968827,25.100007559771814
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002580154984192146,27.5679369705015,27.538326921199957,27.5679369705015,27.538326921199957,25.100009157278926
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00027793995701581056,27.62660483352252,27.59395173187098,27.62660483352252,27.59395173187098,25.10001091013561
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002977691997147814,27.667013361942242,27.702305944383713,27.667013361942242,27.702305944383713,25.10001281340719
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003176907097114115,27.723490191739426,27.755840161462626,27.723490191739426,27.755840161462626,25.100014884421398
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00033766005601166453,27.83137943403411,27.796774698774573,27.83137943403411,27.796774698774573,25.100017119404423
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000357495347283725,27.85703007554986,27.895643816589672,27.85703007554986,27.895643816589672,25.10001949600769
